symbol,levels,resistances,avg_vol_20d
HINDCOPPER.NS,528.12;484.27;474.17,500.80;511.80;512.00;521.70;532.20;545.00;568.45;572.35;586.75;618.10,7827053.8
HINDPETRO.NS,368.72;357.43;388.03,365.20;381.70;388.00;401.05;401.65;404.25;407.10;409.00;409.95;410.50;412.55;420.00,3643675.15
HOMEFIRST.NS,1128.23;1048.50;1102.20;1155.18,1087.00;1134.10;1187.00;1199.60;1220.00;1226.30;1227.90;1238.90;1241.20;1248.10;1273.90;1284.90;1289.60,244202.15
HONASA.NS,338.92;397.15;439.75;462.65,353.00;359.75;362.80;364.70;422.40;424.90;438.35;483.90;491.35;492.60;493.50;509.80,744292.95
HONAUT.NS,37260.00,32880.00;33100.00;35895.00;36485.00;36500.00;36550.00;37190.00;39800.00;40480.00;41495.00,3447.15
HSCL.NS,632.80;735.60;650.05,625.00;632.50;654.45;684.55;687.00;692.80;693.30;693.90;707.45;718.00;794.50;819.50,3787383.85
HUDCO.NS,198.38;204.75,189.58;205.00;205.15;209.80;212.41;217.85;218.00;235.50,1773673.85
ICICIAMC.NS,3255.05;3161.27;3045.12,3152.00;3287.00;3287.70;3289.30;3313.50;3329.50;3428.30;3568.00;3597.50;3611.00,461196.25
ICICIGI.NS,1729.23;1765.40;1612.80,1650.00;1708.40;1771.00;1802.40;1837.90;1856.80;1862.80;1887.50;1893.50;1908.90,680523.05
ICICIPRULI.NS,490.97;475.95;457.25,490.40;500.45;501.45;512.00;522.35;523.90;525.75;529.30;531.95;572.00,1625623.7
IDBI.NS,71.84;80.92;83.13,75.10;76.19;77.25;79.90;86.23;87.44;88.53;89.94;92.25;96.25,14808219.75
