Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
152,HONASA,469.95,455.95,3.07,0.45,48.9,50,482.46,446.83,518.09,553.73,589.36,509.8,8.48,"Near support, Support rejection, Above 50 DMA, Above 200 DMA"
153,JWL,239.37,239.66,-0.12,0.71,30.9,50,242.48,234.87,250.1,257.72,265.34,268.95,12.36,"Very close to support, Support rejection"
154,CAMS,741.85,739.0,0.39,0.97,41.3,50,753.5,724.22,782.79,812.07,841.36,821.9,10.79,"Very close to support, Support rejection"
155,CDSL,1365.2,1318.2,3.57,0.69,49.1,50,1382.46,1291.84,1473.08,1563.71,1654.33,1445.0,5.85,"Near support, Support rejection, Above 50 DMA, Above 200 DMA"
156,CROMPTON,227.72,227.25,0.21,0.71,29.6,50,231.36,222.7,240.02,248.68,257.33,270.55,18.81,"Very close to support, Support rejection"
157,ANGELONE,279.25,278.25,0.36,0.86,33.8,50,281.41,272.69,290.14,298.87,307.59,305.45,9.38,"Very close to support, Support rejection"
158,BATAINDIA,670.45,675.0,-0.67,0.15,36.3,50,679.31,661.5,697.11,714.92,732.72,767.95,14.54,"Very close to support, Support rejection"
159,ABREL,1331.1,1335.6,-0.34,0.38,37.5,50,1353.0,1308.89,1397.11,1441.23,1485.34,1486.0,11.64,"Very close to support, Support rejection"
160,JPPOWER,16.37,16.4,-0.18,0.7,30.8,50,16.58,16.07,17.09,17.61,18.12,19.28,17.78,"Very close to support, Support rejection"
161,INDIACEM,358.3,358.4,-0.03,0.53,32.3,50,360.87,351.23,370.51,380.15,389.79,399.15,11.4,"Very close to support, Support rejection"
162,IRCON,118.25,118.55,-0.25,0.82,29.9,50,119.24,116.18,122.3,125.36,128.41,133.82,13.17,"Very close to support, Support rejection"
163,KIMS,753.65,750.1,0.47,1.07,36.1,50,768.53,735.1,801.97,835.41,868.84,827.95,9.86,"Very close to support, Bullish candle, Above 200 DMA"
164,FORCEMOT,17600.0,17150.0,2.62,1.38,44.7,48,17858.65,16807.0,18910.29,19961.94,21013.58,19448.0,10.5,"Near support, Support rejection, Volume increasing"
165,PCBL,315.3,308.15,2.32,0.86,46.0,45,317.43,301.99,332.88,348.33,363.77,335.9,6.53,"Near support, Support rejection, Above 200 DMA"
166,POWERINDIA,32200.0,31140.0,3.4,0.69,42.2,45,32660.19,30517.2,34803.18,36946.17,39089.16,36590.0,13.63,"Near support, Support rejection, Above 200 DMA"
167,AWL,191.25,186.96,2.29,0.82,47.2,45,194.41,183.22,205.6,216.78,227.97,204.82,7.1,"Near support, Support rejection, Above 50 DMA"
168,COCHINSHIP,1463.0,1415.6,3.35,0.31,45.3,45,1476.85,1387.29,1566.41,1655.97,1745.53,1577.9,7.85,"Near support, Support rejection, Above 50 DMA"
169,SUPREMEIND,3530.6,3383.0,4.36,0.88,49.3,45,3591.27,3315.34,3867.2,4143.12,4419.05,3710.0,5.08,"Near support, Support rejection, Above 50 DMA"
170,PFIZER,4627.6,4637.0,-0.2,0.17,38.3,45,4665.21,4544.26,4786.16,4907.12,5028.07,5149.0,11.27,"Very close to support, Bullish candle"
171,DELHIVERY,454.8,439.1,3.58,0.36,44.9,45,460.62,430.32,490.92,521.22,551.52,486.75,7.03,"Near support, Support rejection, Above 200 DMA"
172,DEEPAKFERT,1416.7,1388.0,2.07,0.53,37.6,45,1436.07,1360.24,1511.89,1587.72,1663.55,1638.6,15.66,"Near support, Support rejection, Above 200 DMA"
173,SCHNEIDER,1169.5,1134.9,3.05,0.37,38.6,45,1187.37,1112.2,1262.54,1337.71,1412.87,1449.0,23.9,"Near support, Support rejection, Above 200 DMA"
174,HEXT,543.6,530.2,2.53,0.96,44.5,40,553.91,519.6,588.22,622.52,656.83,584.5,7.52,"Near support, Support rejection"
175,BSOFT,294.4,287.25,2.49,1.12,44.6,40,300.05,281.5,318.59,337.14,355.68,331.0,12.43,"Near support, Support rejection"
176,AADHARHFC,475.4,459.3,3.51,0.68,43.4,40,479.46,450.11,508.8,538.14,567.49,517.8,8.92,"Near support, Support rejection"
177,GPIL,239.39,228.31,4.85,0.97,44.6,40,243.9,223.74,264.05,284.2,304.36,256.0,6.94,"Near support, Support rejection"
178,NAVA,560.75,545.15,2.86,0.31,45.3,40,564.13,534.25,594.0,623.88,653.76,600.45,7.08,"Near support, Support rejection"
179,RPOWER,22.05,21.51,2.51,0.51,37.3,40,22.22,21.08,23.37,24.51,25.66,25.3,14.74,"Near support, Support rejection"
180,TECHNOE,969.95,941.55,3.02,0.31,42.4,40,979.76,922.72,1036.79,1093.83,1150.87,1079.0,11.24,"Near support, Support rejection"
