Symbol,CMP,Return3M%,Return6M%,Return9M%,Volatility3M,MomentumScore,Rank
RELAXO,375.85,25.81,2.09,-10.81,4.21,1.354,316
BIOCON,413.4,-3.87,9.09,0.8,1.5,1.338,317
TIINDIA,2905.4,-4.67,17.57,-4.22,2.19,1.322,318
TEGA,1752.0,10.29,7.52,-8.41,2.4,1.306,319
ASAHIINDIA,950.4,11.41,-0.03,-3.75,1.99,1.277,320
PCBL,320.55,10.69,4.53,-3.7,3.03,1.268,321
MMTC,66.03,1.8,4.26,2.69,2.45,1.193,322
BORORENEW,551.5,6.92,12.16,-10.52,2.44,1.172,323
TRITURBINE,578.1,-16.27,18.66,6.83,2.67,1.149,324
APLLTD,823.0,7.96,6.15,-9.19,1.43,1.145,325
AARTIDRUGS,411.5,4.32,9.95,-8.79,1.61,1.136,326
OIL,477.25,-3.02,0.12,9.41,1.96,1.106,327
DEEPAKNTR,1732.6,-0.76,4.94,1.53,1.77,1.076,328
CASTROLIND,188.7,3.26,0.24,-1.14,0.74,1.06,329
BANDHANBNK,176.78,-11.79,4.31,16.9,3.03,1.038,330
BERGEPAINT,523.45,4.45,12.96,-10.77,2.14,1.037,331
SENCO,343.95,-1.48,3.03,7.45,2.93,1.024,332
CRISIL,4496.3,10.06,-2.12,-3.21,1.67,0.947,333
MRPL,176.19,16.53,-9.06,1.12,3.19,0.897,334
LUPIN,2198.2,-3.89,-1.28,8.53,1.25,0.893,335
BSE,3250.5,-26.18,18.57,12.26,1.88,0.823,336
PERSISTENT,5685.5,12.85,2.98,-9.98,2.5,0.78,337
CHALET,856.8,7.77,-1.78,-2.12,1.71,0.754,338
HAPPSTMNDS,421.5,14.07,7.24,-16.57,2.19,0.722,339
IMFA,1417.8,-5.23,4.06,5.55,2.22,0.656,340
KFINTECH,984.0,18.64,-5.32,-9.05,2.23,0.638,341
VGUARD,331.85,8.24,0.08,-5.02,1.73,0.633,342
PFIZER,4943.0,5.41,-2.17,-1.34,1.2,0.53,343
HERITGFOOD,381.0,14.72,7.52,-19.78,1.62,0.507,344
JSWDULUX,3120.7,7.72,2.84,-7.72,1.99,0.477,345
CDSL,1384.0,12.86,4.82,-15.61,1.7,0.407,346
CONCOR,515.45,1.89,1.97,-1.37,2.04,0.406,347
SCHAEFFLER,4017.0,-1.35,6.17,-2.98,1.52,0.401,348
ANGELONE,289.3,-16.01,15.28,2.8,1.86,0.369,349
RENUKA,25.05,7.56,5.25,-11.3,2.23,0.226,350
AXISCADES,1605.0,-19.52,14.38,6.96,2.86,0.211,351
CRAMC,261.0,9.02,2.63,-10.89,1.82,0.141,352
SONATSOFTW,305.3,11.38,7.61,-17.5,3.92,0.127,353
ASTRAL,1544.8,0.2,-6.13,6.55,2.09,0.099,354
TVSSCS,122.65,1.52,-3.25,1.52,2.51,-0.027,355
BALKRISIND,2346.8,5.75,-7.87,1.65,2.63,-0.059,356
ABREL,1453.6,13.05,6.07,-19.48,2.01,-0.06,357
GMRAIRPORT,99.86,3.05,-0.5,-2.97,1.52,-0.091,358
GMDCLTD,576.6,-16.81,2.8,13.05,2.11,-0.153,359
HCC,21.4,-2.46,13.47,-12.33,2.88,-0.153,360
GOKEX,799.5,11.85,1.74,-14.77,2.34,-0.169,361
GESHIP,1312.2,-20.41,1.66,17.45,2.29,-0.188,362
STYRENIX,2084.2,-8.28,5.42,1.61,1.96,-0.212,363
STAR,982.7,-14.78,11.65,1.71,2.13,-0.222,364
TIMETECHNO,189.85,7.08,-1.46,-8.1,2.3,-0.359,365
IGIL,337.45,-9.52,2.18,5.26,1.86,-0.374,366
ECLERX,1809.5,14.69,0.26,-18.71,3.14,-0.399,367
V2RETAIL,220.92,-7.48,9.53,-4.73,2.21,-0.403,368
RATNAMANI,2352.8,-8.24,9.33,-3.64,1.93,-0.44,369
GRSE,2642.1,-0.77,7.91,-9.55,1.75,-0.458,370
ANURAS,1243.4,-9.26,-3.63,11.23,1.15,-0.482,371
MPHASIS,2424.5,8.04,-0.46,-10.66,2.1,-0.49,372
CENTURYPLY,769.3,-1.12,0.59,-1.48,1.3,-0.515,373
PRAJIND,344.3,-12.58,8.48,0.63,2.23,-0.519,374
MGL,1129.0,5.03,1.95,-9.82,1.67,-0.568,375
PCJEWELLER,9.81,7.57,-3.44,-9.67,2.9,-0.637,376
APTUS,257.8,-0.92,5.38,-8.03,1.85,-0.646,377
BDL,1357.1,2.05,6.47,-12.84,2.13,-0.675,378
CAMS,755.25,-2.32,4.71,-5.93,1.72,-0.688,379
NHPC,76.68,-2.24,3.12,-4.29,1.58,-0.721,380
INDIANB,872.95,3.9,-6.95,-1.42,2.04,-0.729,381
SUPREMEIND,3658.6,1.26,-7.02,1.88,1.75,-0.739,382
CEATLTD,3582.4,10.0,-7.7,-7.8,2.14,-0.857,383
JUBLFOOD,502.1,14.44,-4.19,-15.63,2.02,-0.89,384
ATUL,6493.5,-7.76,-2.22,5.77,1.53,-0.916,385
JAMNAAUTO,120.75,-2.32,-15.45,9.83,2.62,-1.011,386
RITES,218.14,5.23,-1.44,-12.64,2.73,-1.08,387
IONEXCHANG,372.1,-8.87,-4.44,2.1,3.22,-1.16,388
GALLANTT,589.9,-14.51,7.26,-2.64,2.84,-1.162,389
NAVA,558.3,-8.33,0.02,2.08,1.76,-1.179,390
JPPOWER,17.23,-9.93,16.73,-20.38,3.51,-1.288,391
JSWCEMENT,126.01,-8.68,3.09,-0.21,1.45,-1.333,392
SAATVIKGL,417.9,-5.98,2.25,-5.48,2.27,-1.353,393
FIEMIND,2223.0,-2.23,-2.91,-3.99,2.23,-1.363,394
TARIL,300.7,-6.32,-1.16,-3.98,2.65,-1.443,395
ASHAPURMIN,596.2,-11.72,12.63,-16.09,3.28,-1.541,396
HDBFS,696.35,2.45,-3.95,-6.39,1.7,-1.542,397
NH,1821.4,-1.84,-0.42,-6.68,1.85,-1.612,398
ONESOURCE,1537.7,-14.89,15.3,-9.73,1.92,-1.614,399
RELIGARE,232.55,-1.71,2.63,-11.38,2.12,-1.641,400
AADHARHFC,462.15,-2.35,-2.02,-5.34,1.94,-1.665,401
NLCINDIA,271.85,-20.48,2.68,7.9,1.98,-1.669,402
THOMASCOOK,108.9,17.37,-0.5,-31.69,2.92,-1.69,403
